"Bromeliad #","Leaf #","leaf.ID","aff. Dasyhelea","Chironomus aff. detriticula","Culex sp.","Culicidae sp., dead and unidentifiable","Dasyhelea sp.","Monopelopia","Orthocladiinae sp.","Phoniomyia sp.","Polypedilum “round head”","Polypedilum 1","Polypedilum 1, pupa","Polypedilum 2","Polypedilum unk, pupa","Psychodid sp. C","Psychodid little","Psychodid white","Tanytarsus","Tipulid","unidentified beetle (“Beetle LxL5”)","unidentified terrestrial larva","Wyeomyia sp."
5,"top","lxl5.top",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
6,2,"lxl6.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,3,"lxl6.3",0,0,0,0,0,0,1,0,0,4,0,10,0,0,0,0,0,0,0,0,0
6,4,"lxl6.4",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
6,5,"lxl6.5",0,0,0,0,1,0,2,0,1,0,0,3,0,1,0,0,0,0,0,0,0
6,6,"lxl6.6",0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
6,7,"lxl6.7",0,0,0,0,3,0,0,1,1,5,0,2,0,2,0,0,0,0,0,0,0
6,8,"lxl6.8",0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6,9,"lxl6.9",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
6,10,"lxl6.10",0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6,11,"lxl6.11",0,0,0,0,5,2,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0
6,12,"lxl6.12",0,0,0,0,1,0,3,2,0,2,0,10,0,1,0,0,0,0,0,0,0
6,13,"lxl6.13",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
6,14,"lxl6.14",0,0,0,1,0,0,0,2,0,3,0,9,0,0,0,0,0,0,0,0,3
6,16,"lxl6.16",16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6,17,"lxl6.17",22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
6,18,"lxl6.18",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,"dead","lxl6.dead",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,"top","lxl6.top",43,0,8,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1
7,1,"lxl7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2,"lxl7.2",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
7,3,"lxl7.3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,4,"lxl7.4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,5,"lxl7.5",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7,6,"lxl7.6",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7,7,"lxl7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7,8,"lxl7.8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,9,"lxl7.9",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
7,10,"lxl7.10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,11,"lxl7.11",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
7,12,"lxl7.12",0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,0
7,13,"lxl7.13",0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
7,14,"lxl7.14",0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0
7,15,"lxl7.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16,"lxl7.16",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
7,17,"lxl7.17",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7,"top","lxl7.top",0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0
